60,2023-06-07 13:15:00+00:00
timestep=60,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
2700.0,5757954.423305296,3118114.935468607,1792581.4500729968,True,[-3.60639736e+10 -1.35302535e+11 -5.86517593e+10],[5757954.4233053  3118114.93546861 1792581.450073  ],[-3.60582156e+10 -1.35299417e+11 -5.86499668e+10],15.51763355126853,-76.95912177349574,412346.0000593861
2760.0,5521737.6721931705,3326202.9614890623,2127971.2494789828,True,[-3.60622671e+10 -1.35302931e+11 -5.86519311e+10],[5521737.67219317 3326202.96148906 2127971.24947898],[-3.60567454e+10 -1.35299605e+11 -5.86498031e+10],18.488898049251087,-74.57758320377027,412331.8875953222
2820.0,5260182.900604362,3519027.8324399795,2453568.1453788015,True,[-3.60605606e+10 -1.35303327e+11 -5.86521028e+10],[5260182.90060436 3519027.83243998 2453568.1453788 ],[-3.60553005e+10 -1.35299808e+11 -5.86496492e+10],21.421696901644093,-72.10426763114162,412411.0749059757
2880.0,4974489.331119078,3695704.0584973963,2767873.319205707,True,[-3.60588542e+10 -1.35303723e+11 -5.86522745e+10],[4974489.33111908 3695704.0584974  2767873.31920571],[-3.60538797e+10 -1.35300028e+11 -5.86495067e+10],24.30769255758683,-69.52087663722342,412574.9951028139
2940.0,4665967.749454316,3855420.6964354003,3069440.179135121,True,[-3.60571477e+10 -1.35304119e+11 -5.86524462e+10],[4665967.74945432 3855420.6964354  3069440.17913512],[-3.60524817e+10 -1.35300264e+11 -5.86493768e+10],27.137562675802254,-66.80766202704503,412813.88356503786
3000.0,4336034.315703962,3997445.0982357175,3356881.1114288145,True,[-3.60554412e+10 -1.35304515e+11 -5.86526180e+10],[4336034.31570396 3997445.09823572 3356881.11142881],[-3.60511052e+10 -1.35300518e+11 -5.86492611e+10],29.900791675261985,-63.94332348933416,413116.9927284426
3060.0,3986203.882951837,4121126.272876956,3628873.9300417462,True,[-3.60537347e+10 -1.35304912e+11 -5.86527897e+10],[3986203.88295184 4121126.27287696 3628873.93004175],[-3.60497485e+10 -1.35300790e+11 -5.86491608e+10],32.58544072329463,-60.90500951842203,413472.82275193726
3120.0,3618082.8624320487,4225897.8475594465,3884167.993839379,True,[-3.60520282e+10 -1.35305308e+11 -5.86529613e+10],[3618082.86243205 4225897.84755945 3884167.99383938],[-3.60484102e+10 -1.35301082e+11 -5.86490772e+10],35.177901909596414,-57.66848612698555,413869.36336575844
3180.0,3233361.6760721244,4311280.617518928,4121589.9637348284,True,[-3.60503218e+10 -1.35305704e+11 -5.86531330e+10],[3233361.67607212 4311280.61751893 4121589.96373483],[-3.60470884e+10 -1.35301392e+11 -5.86490114e+10],37.662649855086975,-54.208564189498226,414294.34207677975
3240.0,2833806.838457314,4376884.676353085,4340049.175037758,True,[-3.60486153e+10 -1.35306100e+11 -5.86533047e+10],[2833806.83845731 4376884.67635308 4340049.17503776],[-3.60457814e+10 -1.35301723e+11 -5.86489647e+10],40.02201555178835,-50.49990523698396,414735.47388484265
3300.0,2421252.7108507315,4422411.121438674,4538542.603364292,True,[-3.60469087e+10 -1.35306496e+11 -5.86534764e+10],[2421252.71085073 4422411.12143867 4538542.60336429],[-3.60444875e+10 -1.35302073e+11 -5.86489378e+10],42.2360237296254,-46.51834941746334,415180.7077425133
